WingArea,x1,x2,x3,x4,x5,x6,x7,x8,x9,FanDiameter,x11,x12,x13,x14,x15
135.0,130.66666666666666,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,18.0,27.0,1350.0,15.0,38000.0,78.0
135.0,130.66666666666666,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,19.333333333333332,27.0,1350.0,15.0,38000.0,78.0
135.0,130.66666666666666,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,20.666666666666668,27.0,1350.0,15.0,38000.0,78.0
135.0,130.66666666666666,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,22.0,27.0,1350.0,15.0,38000.0,78.0
140.0,126.0,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,18.0,27.0,1350.0,15.0,38000.0,78.0
140.0,126.0,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,19.333333333333332,27.0,1350.0,15.0,38000.0,78.0
140.0,126.0,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,20.666666666666668,27.0,1350.0,15.0,38000.0,78.0
140.0,126.0,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,22.0,27.0,1350.0,15.0,38000.0,78.0
145.0,121.65517241379311,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,18.0,27.0,1350.0,15.0,38000.0,78.0
145.0,121.65517241379311,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,19.333333333333332,27.0,1350.0,15.0,38000.0,78.0
145.0,121.65517241379311,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,20.666666666666668,27.0,1350.0,15.0,38000.0,78.0
145.0,121.65517241379311,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,22.0,27.0,1350.0,15.0,38000.0,78.0
150.0,117.6,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,18.0,27.0,1350.0,15.0,38000.0,78.0
150.0,117.6,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,19.333333333333332,27.0,1350.0,15.0,38000.0,78.0
150.0,117.6,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,20.666666666666668,27.0,1350.0,15.0,38000.0,78.0
150.0,117.6,30.0,25.0,-2.25,38.5,250.0,6.0,3000.0,80.0,22.0,27.0,1350.0,15.0,38000.0,78.0
